time,open,high,low,close,MA №1,MA №2,MA №3,MA №4,Volume,Volume MA
2023-05-31T21:05:00+02:00,27084.91,27086.72,27079.35,27079.36,27102.916500000043,27121.05499999997,NaN,NaN,0.18431,0.3961754999999999
2023-05-31T21:06:00+02:00,27080.88,27083.28,27073.69,27077.86,27100.55000000004,27120.696399999968,NaN,NaN,0.22395,0.3912109999999999
2023-05-31T21:07:00+02:00,27069.37,27078.37,27069.37,27077.62,27097.878000000044,27120.34939999997,NaN,NaN,0.24203,0.36930099999999993
2023-05-31T21:08:00+02:00,27085.34,27086.59,27082.56,27086.58,27096.228500000045,27120.24279999997,NaN,NaN,0.13884,0.36139449999999995
2023-05-31T21:09:00+02:00,27086.84,27096.96,27086.84,27096.96,27094.70550000004,27119.78719999997,NaN,NaN,0.08081,0.3121799999999999
2023-05-31T21:10:00+02:00,27094.93,27100.81,27091.99,27094.5,27093.989500000043,27119.29479999997,NaN,NaN,0.37498,0.2649489999999999
2023-05-31T21:11:00+02:00,27104.34,27104.35,27094.09,27100.34,27094.70100000004,27118.674599999973,NaN,NaN,0.53948,0.27493299999999987
2023-05-31T21:12:00+02:00,27097.54,27103.27,27093.46,27103.27,27094.93850000004,27117.84099999997,NaN,NaN,0.5348,0.29454999999999987
2023-05-31T21:13:00+02:00,27106.48,27115.78,27106.48,27110.07,27095.358000000044,27117.10359999997,NaN,NaN,0.7913,0.31698249999999983
2023-05-31T21:14:00+02:00,27110.84,27116.54,27110.7,27110.7,27095.854000000043,27116.091199999973,NaN,NaN,0.2647,0.32021499999999986
2023-05-31T21:15:00+02:00,27108.48,27112.78,27100.66,27106.78,27095.941500000044,27115.53639999997,NaN,NaN,0.88453,0.35067049999999983
2023-05-31T21:16:00+02:00,27108.78,27108.79,27098.68,27099.83,27095.622500000045,27114.90019999998,NaN,NaN,0.9993,0.39212899999999984
2023-05-31T21:17:00+02:00,27102.58,27108.77,27100.28,27104.61,27095.079500000043,27114.008399999977,NaN,NaN,0.69496,0.4094179999999998
2023-05-31T21:18:00+02:00,27104.53,27104.53,27098.43,27102.33,27094.65750000005,27112.975199999975,NaN,NaN,0.09819,0.41193599999999986
2023-05-31T21:19:00+02:00,27104.2,27104.21,27101.95,27101.95,27094.435500000043,27112.07699999998,NaN,NaN,0.28275,0.4222299999999999
2023-05-31T21:20:00+02:00,27102.71,27106.48,27087.79,27104.43,27094.772000000044,27111.22059999998,NaN,NaN,0.15383,0.41384349999999986
2023-05-31T21:21:00+02:00,27110.76,27120.98,27110.76,27120.86,27096.687000000045,27110.984199999977,NaN,NaN,0.55478,0.40244399999999986
2023-05-31T21:22:00+02:00,27118.21,27118.21,27106.8,27106.8,27097.693500000045,27110.34979999997,NaN,NaN,0.2906,0.38983649999999986
2023-05-31T21:23:00+02:00,27101.98,27104.95,27095.29,27095.29,27098.050000000047,27109.412599999974,NaN,NaN,0.82682,0.4143689999999999
2023-05-31T21:24:00+02:00,27095.61,27105.73,27095.29,27103.22,27099.168000000045,27108.813799999974,NaN,NaN,0.16257,0.4161764999999999
2023-05-31T21:25:00+02:00,27097.88,27098.2,27090.48,27090.48,27099.724000000046,27107.92339999997,NaN,NaN,0.12321,0.4131214999999999
2023-05-31T21:26:00+02:00,27088.95,27099.07,27083.21,27099.07,27100.784500000045,27106.93939999997,NaN,NaN,0.77631,0.44073949999999995
2023-05-31T21:27:00+02:00,27100.85,27100.9,27100.85,27100.9,27101.948500000046,27106.232799999976,NaN,NaN,0.13497,0.4353864999999999
2023-05-31T21:28:00+02:00,27101.16,27104.63,27101.15,27101.16,27102.67750000004,27105.709999999974,NaN,NaN,0.09983,0.43343599999999993
2023-05-31T21:29:00+02:00,27101.41,27101.41,27089.23,27089.23,27102.291000000045,27104.790199999974,NaN,NaN,0.10669,0.43472999999999995
2023-05-31T21:30:00+02:00,27086.2,27086.2,27085.54,27086.04,27101.868000000046,27103.857399999968,NaN,NaN,0.08874,0.4204179999999999
2023-05-31T21:31:00+02:00,27087.56,27099.88,27087.56,27099.87,27101.844500000047,27103.42899999997,NaN,NaN,0.4361,0.4152489999999999
2023-05-31T21:32:00+02:00,27098.61,27108.95,27098.61,27105.76,27101.96900000005,27102.767999999975,NaN,NaN,0.4616,0.4115889999999999
2023-05-31T21:33:00+02:00,27112.6,27119.13,27112.6,27116.37,27102.28400000005,27102.259399999977,NaN,NaN,0.24571,0.38430949999999997
2023-05-31T21:34:00+02:00,27118.61,27118.61,27118.6,27118.6,27102.679000000044,27101.953799999974,NaN,NaN,0.10856,0.3765024999999999
2023-05-31T21:35:00+02:00,27123.03,27127.9,27121.7,27126.62,27103.67100000005,27101.928599999974,NaN,NaN,0.22269,0.34341049999999995
2023-05-31T21:36:00+02:00,27128.55,27134.59,27128.55,27134.59,27105.40900000005,27102.116599999972,NaN,NaN,0.29162,0.3080264999999999
2023-05-31T21:37:00+02:00,27136.12,27140.32,27135.85,27140.32,27107.19450000005,27102.30179999998,NaN,NaN,0.58422,0.30248949999999997
2023-05-31T21:38:00+02:00,27139.29,27141.11,27128.5,27130.01,27108.578500000043,27102.510599999976,NaN,NaN,0.15463,0.30531149999999996
2023-05-31T21:39:00+02:00,27132.23,27132.23,27131.79,27131.85,27110.073500000046,27102.599199999975,NaN,NaN,0.27754,0.30505099999999996
2023-05-31T21:40:00+02:00,27133.81,27133.81,27127.03,27127.03,27111.20350000005,27102.963399999975,NaN,NaN,0.10043,0.30238099999999996
2023-05-31T21:41:00+02:00,27133.09,27155.36,27133.09,27151.03,27112.712000000047,27104.261799999975,NaN,NaN,0.45951,0.2976175
2023-05-31T21:42:00+02:00,27152.11,27152.59,27145.16,27146.02,27114.67300000005,27105.211799999975,NaN,NaN,0.54943,0.3105589999999999
