time,open,high,low,close,ema20,ema50,ema100,ema200,Volume,Volume MA
2023-06-05T00:28:00+02:00,27393.04,27393.34,27301.33,27323.57,27379.598671475742,27338.000963793882,27314.68684481978,27296.370112455046,5.00044,1.6118619999999937
2023-06-05T00:29:00+02:00,27311.66,27321.46,27273.79,27312.48,27373.20641704948,27337.00014168432,27314.643144922356,27296.53040984355,1.67891,1.6880934999999937
2023-06-05T00:30:00+02:00,27306.02,27326.08,27303.68,27303.68,27366.58485352096,27335.693469461403,27314.426052943694,27296.601550044114,1.05829,1.7377104999999937
2023-06-05T00:31:00+02:00,27304.55,27304.55,27287.61,27289.64,27359.25677223325,27333.887451051152,27313.935240014118,27296.532280889445,0.65013,1.7657534999999935
2023-06-05T00:32:00+02:00,27281.77,27286.75,27265.64,27285.18,27352.201841544367,27331.9773549315,27313.36582932077,27296.419322870646,0.86913,1.8085029999999935
2023-06-05T00:33:00+02:00,27288.35,27309.14,27288.35,27309.14,27348.100713778236,27331.081772385165,27313.28214953224,27296.54589677243,0.3016,1.8207414999999938
2023-06-05T00:34:00+02:00,27316.32,27316.32,27302.43,27304.2,27343.919693418404,27330.027585232805,27313.102304987045,27296.62205700355,0.25581,1.8305674999999937
2023-06-05T00:35:00+02:00,27299.9,27315.31,27291.86,27315.31,27341.194960711888,27329.450425027597,27313.146021719975,27296.808006685107,0.66327,1.8201969999999936
2023-06-05T00:36:00+02:00,27317,27341.24,27316.99,27339.78,27341.06020254885,27329.855506399064,27313.67342723047,27297.23558870814,0.82509,1.3116339999999935
2023-06-05T00:37:00+02:00,27337.04,27377.11,27337.04,27376.44,27344.429707068008,27331.682349285376,27314.91632966155,27298.023692303082,0.67009,0.9830729999999933
2023-06-05T00:38:00+02:00,27372.73,27372.73,27361.19,27366.31,27346.513544490103,27333.040296372223,27315.934026103896,27298.70315805131,1.33179,1.0263519999999935
2023-06-05T00:39:00+02:00,27363.29,27389.76,27363.29,27370.49,27348.797016443426,27334.508912200763,27317.01434241867,27299.417454986124,1.67356,1.0377769999999933
