time,open,high,low,close,Volume,Volume MA
2023-06-02T21:16:00+02:00,27217.96,27220.83,27213.44,27220.83,0.10506,0.4674154999999939
2023-06-02T21:17:00+02:00,27222.86,27231.18,27220.7,27228.31,0.02016,0.43401399999999385
2023-06-02T21:18:00+02:00,27225.01,27235.71,27211.05,27235.71,0.17926,0.43393999999999383
2023-06-02T21:19:00+02:00,27247.76,27248.05,27229.6,27232.75,0.10784,0.4061769999999938
2023-06-02T21:20:00+02:00,27232.56,27236.53,27220.92,27227.94,0.13878,0.2950684999999938
2023-06-02T21:21:00+02:00,27225.33,27230.98,27220.19,27226.22,0.10175,0.2803794999999938
2023-06-02T21:22:00+02:00,27223.21,27228.4,27216.89,27216.89,0.049,0.25660949999999383
2023-06-02T21:23:00+02:00,27219.96,27220.13,27216.16,27218.6,0.08212,0.2199344999999938
2023-06-02T21:24:00+02:00,27213.18,27218.33,27212.12,27218.33,0.04579,0.1943589999999938
2023-06-02T21:25:00+02:00,27218.45,27230.15,27214.42,27230.15,0.18417,0.18770699999999377
2023-06-02T21:26:00+02:00,27231.82,27238.41,27231.82,27235.83,0.13239,0.17780649999999376
2023-06-02T21:27:00+02:00,27237.02,27246.11,27237.02,27237.29,0.35868,0.17070999999999376
2023-06-02T21:28:00+02:00,27232.63,27249.98,27229.35,27249.98,0.43048,0.17999499999999377
2023-06-02T21:29:00+02:00,27243.79,27248.34,27226.21,27228.14,0.38079,0.1808914999999938
2023-06-02T21:30:00+02:00,27224.96,27226.2,27221.49,27221.49,0.19382,0.1799964999999938
2023-06-02T21:31:00+02:00,27222.59,27230.61,27220.57,27220.77,0.13794,0.17946149999999378
2023-06-02T21:32:00+02:00,27221.12,27226.11,27215.37,27226.11,1.06795,0.22932649999999377
2023-06-02T21:33:00+02:00,27225.65,27254.86,27225.65,27253.85,0.19023,0.22545349999999376
2023-06-02T21:34:00+02:00,27253.4,27274.42,27246.31,27257.7,1.06624,0.27385349999999375
2023-06-02T21:35:00+02:00,27260.85,27312.38,27254.14,27309.86,2.91437,0.3943409999999937
2023-06-02T21:36:00+02:00,27317.92,27323.91,27292.05,27303.27,2.34112,0.5061439999999937
2023-06-02T21:37:00+02:00,27298.6,27313.72,27297.25,27313.65,0.31432,0.5208519999999937
2023-06-02T21:38:00+02:00,27308.72,27324.94,27297.73,27324.94,0.209,0.5223389999999937
2023-06-02T21:39:00+02:00,27325.54,27336,27322.24,27331.62,0.48423,0.5411584999999938
2023-06-02T21:40:00+02:00,27330.8,27330.8,27313.85,27316.89,0.33947,0.5511929999999937
2023-06-02T21:41:00+02:00,27321.92,27340.4,27302.91,27339.87,0.93515,0.5928629999999938
2023-06-02T21:42:00+02:00,27338.85,27338.85,27309.09,27309.09,0.09294,0.5950599999999938
2023-06-02T21:43:00+02:00,27308.96,27326.95,27308.96,27309.96,0.32016,0.6069619999999938
2023-06-02T21:44:00+02:00,27308.71,27327.66,27308.71,27326.11,0.21757,0.6155509999999939
2023-06-02T21:45:00+02:00,27326.41,27335.27,27305.49,27305.49,2.21305,0.7169949999999938
2023-06-02T21:46:00+02:00,27306.82,27340.72,27290.52,27302.86,3.97592,0.9091714999999937
2023-06-02T21:47:00+02:00,27301.54,27301.61,27289.58,27299.8,0.43397,0.9129359999999936
2023-06-02T21:48:00+02:00,27300.04,27313.85,27299.31,27313.85,0.26709,0.9047664999999936
2023-06-02T21:49:00+02:00,27310.23,27326.02,27304.4,27304.4,0.64549,0.9180014999999935
2023-06-02T21:50:00+02:00,27304.4,27317.33,27292.94,27312.9,0.61801,0.9392109999999935
2023-06-02T21:51:00+02:00,27315.77,27330.87,27313.23,27313.23,0.83892,0.9742599999999936
2023-06-02T21:52:00+02:00,27308.03,27308.03,27301.01,27301.01,0.0916,0.9254424999999935
2023-06-02T21:53:00+02:00,27299.81,27309.2,27299.81,27303.76,0.17877,0.9248694999999936
2023-06-02T21:54:00+02:00,27304.33,27311.78,27298.42,27311.77,0.63002,0.9030584999999934
2023-06-02T21:55:00+02:00,27312.02,27312.02,27287.98,27287.98,0.69139,0.7919094999999935
2023-06-02T21:56:00+02:00,27289.25,27289.25,27277.69,27281.42,0.03352,0.6765294999999935
2023-06-02T21:57:00+02:00,27283.74,27293.97,27283.74,27288.18,0.03707,0.6626669999999935
2023-06-02T21:58:00+02:00,27289.82,27289.82,27281.78,27281.78,0.10024,0.6572289999999934
2023-06-02T21:59:00+02:00,27285.65,27285.78,27271.62,27285.78,0.75602,0.6708184999999933
2023-06-02T22:00:00+02:00,27290.91,27303.25,27290.91,27299.86,0.31192,0.6694409999999934
2023-06-02T22:01:00+02:00,27299.84,27315.99,27299.84,27315.98,0.26224,0.6357954999999934
2023-06-02T22:02:00+02:00,27311.48,27328.64,27305.47,27325.73,0.28702,0.6454994999999933
2023-06-02T22:03:00+02:00,27324.04,27325.95,27306.45,27308.97,0.4187,0.6504264999999934
2023-06-02T22:04:00+02:00,27311.38,27311.38,27289.07,27289.07,0.095,0.6442979999999934
2023-06-02T22:05:00+02:00,27285.54,27297.97,27285.54,27297.87,0.2363,0.5454604999999934
2023-06-02T22:06:00+02:00,27297.36,27307.41,27294.98,27307.41,0.15517,0.3544229999999933
2023-06-02T22:07:00+02:00,27304.22,27308.27,27295.94,27295.94,0.15666,0.3405574999999933
2023-06-02T22:08:00+02:00,27303.04,27303.04,27286.67,27286.7,0.03815,0.3291104999999933
2023-06-02T22:09:00+02:00,27294.79,27298.98,27294.79,27294.94,0.02182,0.2979269999999933
2023-06-02T22:10:00+02:00,27294.09,27295.89,27288.79,27295.89,0.08297,0.27117499999999334
2023-06-02T22:11:00+02:00,27298.16,27310.1,27298.16,27310.1,0.145,0.2364789999999933
2023-06-02T22:12:00+02:00,27311.13,27313.98,27298.87,27298.87,0.12386,0.2380919999999933
2023-06-02T22:13:00+02:00,27299.11,27303.08,27285.53,27292.04,0.65817,0.2620619999999933
2023-06-02T22:14:00+02:00,27288.55,27296.42,27288.55,27296.42,0.04255,0.23268849999999333
2023-06-02T22:15:00+02:00,27298.24,27298.25,27292.98,27292.98,0.34571,0.21540449999999334
2023-06-02T22:16:00+02:00,27294.53,27296.42,27284.65,27284.65,0.19265,0.22336099999999331
2023-06-02T22:17:00+02:00,27279.92,27281.15,27265.05,27265.11,0.37823,0.24041899999999333
2023-06-02T22:18:00+02:00,27260.75,27271.77,27249.11,27249.11,1.58543,0.3146784999999933
2023-06-02T22:19:00+02:00,27257.09,27265.79,27257.09,27263.11,0.33394,0.2935744999999933
2023-06-02T22:20:00+02:00,27259.71,27268.89,27259.71,27263.53,0.38729,0.2973429999999933
2023-06-02T22:21:00+02:00,27266.46,27286.15,27266.46,27285.47,0.41351,0.30490649999999325
2023-06-02T22:22:00+02:00,27285.66,27296.87,27281.67,27282.37,0.44921,0.31301599999999324
2023-06-02T22:23:00+02:00,27283.73,27290.62,27276.92,27276.92,0.42091,0.31312649999999326
2023-06-02T22:24:00+02:00,27278.32,27286.74,27278.32,27280.97,0.48332,0.33254249999999325
2023-06-02T22:25:00+02:00,27280.71,27282.67,27268.02,27279.44,0.31437,0.33644599999999325
2023-06-02T22:26:00+02:00,27281.99,27283.51,27277.38,27279.45,0.55946,0.3566604999999933
2023-06-02T22:27:00+02:00,27279.26,27285.83,27279.26,27285.82,0.13968,0.3558114999999933
2023-06-02T22:28:00+02:00,27280.24,27281.2,27276.55,27278.26,0.20274,0.3640409999999933
2023-06-02T22:29:00+02:00,27281.46,27283.08,27278.84,27281,0.1641,0.37115499999999335
2023-06-02T22:30:00+02:00,27283.92,27288.87,27252.9,27253.65,0.93128,0.4135704999999933
2023-06-02T22:31:00+02:00,27253.72,27259.1,27244.27,27247.54,0.57158,0.4348994999999933
2023-06-02T22:32:00+02:00,27252.34,27255.02,27239.62,27250.67,0.32877,0.4451449999999933
2023-06-02T22:33:00+02:00,27249.7,27249.7,27243.99,27243.99,0.03147,0.4138099999999933
2023-06-02T22:34:00+02:00,27245.26,27258.66,27238.42,27258.66,1.56196,0.48978049999999324
2023-06-02T22:35:00+02:00,27255.48,27266.62,27241.46,27263.04,0.51068,0.4980289999999933
2023-06-02T22:36:00+02:00,27264.58,27264.58,27254.25,27256.54,0.13483,0.4951379999999933
2023-06-02T22:37:00+02:00,27255.86,27257.01,27251.6,27251.6,0.14696,0.48357449999999325
2023-06-02T22:38:00+02:00,27252.11,27255.08,27244.44,27244.44,0.23318,0.4159619999999933
2023-06-02T22:39:00+02:00,27245.9,27246.84,27232.87,27240.82,0.46268,0.4223989999999933
2023-06-02T22:40:00+02:00,27241.24,27256.3,27241.24,27254.49,0.01845,0.4039569999999933
2023-06-02T22:41:00+02:00,27249.87,27251.58,27245.07,27245.07,0.08357,0.3874599999999933
2023-06-02T22:42:00+02:00,27246.97,27246.97,27236.63,27237.94,0.17091,0.3735449999999933
2023-06-02T22:43:00+02:00,27241.61,27246.97,27239.11,27246.97,0.3817,0.3715844999999933
2023-06-02T22:44:00+02:00,27243.65,27250.95,27243.65,27247.45,0.15404,0.35512049999999334
2023-06-02T22:45:00+02:00,27249.96,27255.91,27248.93,27248.95,0.06001,0.34240249999999334
